time,roll,pitch,yaw,altitude,linear_velocity_x,linear_velocity_y,desired_roll,desired_pitch,desired_yaw,desired_altitude,desired_linear_velocity_x,desired_linear_velocity_y
0.004000000189989805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0
0.00800000037997961,0.0,0.0,0.0,0.06905829161405563,3.220294456696138e-05,1.8638242181623355e-05,-0.003944937824448157,-0.002171399846349724,0,5,0,0
0.012000000569969416,0.0,0.0,0.0,0.06795962899923325,3.216322511434555e-05,1.8624474250827916e-05,-0.00031731829175098684,-7.303843538607886e-05,0,5,0,0
0.01600000075995922,0.0,0.0,0.0,0.06711293011903763,0.002569167874753475,-0.00164444197434932,-0.31111100875755315,0.19367659170878207,0,5,0,0
0.020000000949949026,0.0,0.0,0.0,0.06610926985740662,0.002565984381362796,-0.0016432193806394935,-0.025314179669002037,0.006443136693838441,0,5,0,0
0.02400000113993883,0.0,0.0,0.0,0.06507459282875061,0.0050162700936198235,-0.0037349886260926723,-0.3258443483657139,0.25028074837079317,0,5,0,0
0.028000001329928637,0.0,0.0,0.0,0.06404799968004227,0.006737229414284229,-0.006558253429830074,-0.2610208957666789,0.34388279379297754,0,5,0,0
0.03200000151991844,0.0,0.0,0.0,0.06302999705076218,0.007206467911601067,-0.008021299727261066,-0.12491199032557906,0.19672965541176754,0,5,0,0
0.03600000170990825,0.0,0.0,0.0,0.06202191859483719,0.00738552026450634,-0.010345800779759884,-0.09407429940840653,0.3029661448867923,0,5,0,0
0.04000000189989805,-0.1269376745129713,0.01803587913833053,0.06256013658186432,0.06099339574575424,0.006909919437021017,-0.01111957523971796,-0.01568639564516279,0.13163119633388437,0,5,0,0
0.04400000208988786,-0.1269376745129713,0.01803587913833053,0.06256013658186432,0.05995853617787361,0.006101533304899931,-0.01072099432349205,0.02982116698871816,-0.0018273704996816867,0,5,0,0
0.04800000227987766,-0.1269376745129713,0.01803587913833053,0.06256013658186432,0.058905214071273804,0.004218554589897394,-0.009481579065322876,0.1695324894393644,-0.10135613471717074,0,5,0,0
0.05200000246986747,-0.1269376745129713,0.01803587913833053,0.06256013658186432,0.05786893144249916,0.0025373022072017193,-0.008314982987940311,0.16364471243412984,-0.09781040561719515,0,5,0,0
0.05600000265985727,-0.1458573936601745,0.09555810333117036,0.18811001921339585,0.05682016536593437,0.0011702955234795809,-0.005584873724728823,0.14195933110659886,-0.2846126640236442,0,5,0,0
0.06000000284984708,-0.1458573936601745,0.09555810333117036,0.18811001921339585,0.05575995147228241,-4.345682100392878e-05,-0.002404475351795554,0.13685584650237248,-0.34798600921185585,0,5,0,0
0.06400000303983688,-0.1458573936601745,0.09555810333117036,0.18811001921339585,0.05467447265982628,-0.0010178443044424057,0.0003352224885020405,0.11967361857467504,-0.3093667975404106,0,5,0,0
0.06800000322982669,-0.1458573936601745,0.09555810333117036,0.18811001921339585,0.05360754206776619,0.00011836658813990653,0.001974386628717184,-0.12913108045540753,-0.19211815725079046,0,5,0,0
0.0720000034198165,0.10710981112687289,-0.23900364988794098,0.3096880561136041,0.05251993238925934,0.0005038883537054062,0.0036057124380022287,-0.04853498466505702,-0.1977703020104406,0,5,0,0
0.0760000036098063,0.10710981112687289,-0.23900364988794098,0.3096880561136041,0.051410362124443054,0.0010630306787788868,0.004065829329192638,-0.0736612712064549,-0.06785953053872089,0,5,0,0
0.0800000037997961,0.10710981112687289,-0.23900364988794098,0.3096880561136041,0.050309352576732635,0.001639951835386455,0.002818305278196931,-0.08143453710970679,0.12923339860349498,0,5,0,0
0.08400000398978591,0.10710981112687289,-0.23900364988794098,0.3096880561136041,0.04927735775709152,0.0016330655198544264,0.0007897417526692152,-0.01569125581566929,0.2252126940367048,0,5,0,0
0.08800000417977571,0.18616646582026627,-0.7221296552236802,0.38217307451056826,0.048237867653369904,0.002175652887672186,-0.002026749076321721,-0.08293813750178418,0.32512533898003465,0,5,0,0
0.09200000436976552,0.18616646582026627,-0.7221296552236802,0.38217307451056826,0.047208625823259354,0.0022789090871810913,-0.0052276491187512875,-0.034551414791746005,0.3811875199660033,0,5,0,0
0.09600000455975533,0.18616646582026627,-0.7221296552236802,0.38217307451056826,0.04616827145218849,0.0022502478677779436,-0.008191518485546112,-0.019429494270143587,0.3663967073361379,0,5,0,0
0.10000000474974513,0.18616646582026627,-0.7221296552236802,0.38217307451056826,0.045176077634096146,0.001426242757588625,-0.010027093812823296,0.07828331731252237,0.24683000025480328,0,5,0,0
0.10400000493973494,0.09895503779548201,-0.5620059990702185,0.45154405317731794,0.04416881874203682,0.00094002386322245,-0.011736594140529633,0.04514230272364972,0.23951273261486064,0,5,0,0
0.10800000512972474,0.09895503779548201,-0.5620059990702185,0.45154405317731794,0.043143291026353836,0.00013909675180912018,-0.012419390492141247,0.08855591274173602,0.12676953273540242,0,5,0,0
0.11200000531971455,0.09895503779548201,-0.5620059990702185,0.45154405317731794,0.04211246594786644,-0.0008488419116474688,-0.011773847043514252,0.11947613520256398,-0.025222604253767954,0,5,0,0
0.11600000550970435,0.09895503779548201,-0.5620059990702185,0.45154405317731794,0.041088998317718506,-0.001979091903194785,-0.01017046719789505,0.1467934085886019,-0.1393683040572703,0,5,0,0
0.12000000569969416,0.14109577081330008,-0.14664029611392818,0.5463249478897048,0.04005837067961693,-0.0032365131191909313,-0.007698277942836285,0.173682150451377,-0.246979639129065,0,5,0,0
