time,min_distance_to_obstacle,min_distance_to_other_agent,max_distance_to_other_agent,position_x,position_y,velocity_x,velocity_y,migration_x,migration_y,cohesion_x,cohesion_y,repulsion_x,repulsion_y,friction_x,friction_y,obstacle_x,obstacle_y,desired_x,desired_y
15.00000071246177,2.0267181396484375,2.778542145563766,6.373537139664682,103.97328186035156,99.85469818115234,0.015144065953791142,0.03940809145569801,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.00400071265176,2.0266571044921875,2.7784368048324026,6.373669425396583,103.97334289550781,99.85487365722656,0.014250493608415127,0.039812833070755005,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.00800071284175,2.0266189575195312,2.7783095588899176,6.373792118999954,103.97338104248047,99.85502624511719,0.013372913934290409,0.039893053472042084,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.012000713031739,2.0265579223632812,2.7781882173066617,6.373938945136948,103.97344207763672,99.85518646240234,0.013536292128264904,0.040727902203798294,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.016000713221729,2.0264892578125,2.778099908795632,6.374080976525227,103.9735107421875,99.85533905029297,0.011815737001597881,0.03992484137415886,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.020000713411719,2.0264434814453125,2.7779837943388284,6.374201287845329,103.97355651855469,99.85549926757812,0.010210232809185982,0.03960684314370155,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.024000713601708,2.0264129638671875,2.777829768535647,6.3743192040672865,103.97358703613281,99.85565948486328,0.008941086009144783,0.039441972970962524,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.028000713791698,2.0263748168945312,2.7776979902558963,6.37442508171203,103.97362518310547,99.8558120727539,0.0070548574440181255,0.03858233615756035,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.032000713981688,2.026336669921875,2.7775825591240286,6.374538243378104,103.97366333007812,99.85597229003906,0.006436092779040337,0.03837556391954422,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.036000714171678,2.02630615234375,2.7774507843930554,6.37464656835584,103.97369384765625,99.85613250732422,0.0064201196655631065,0.038335103541612625,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.040000714361668,2.0262832641601562,2.7773183372736767,6.374733209163418,103.97371673583984,99.85628509521484,0.005602936260402203,0.03870910406112671,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.044000714551657,2.0262603759765625,2.7772123491018905,6.374807807961177,103.97373962402344,99.85643005371094,0.006901813670992851,0.039312124252319336,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.048000714741647,2.0262374877929688,2.7771233824875656,6.374892017168037,103.97376251220703,99.8565902709961,0.008555824868381023,0.04017113894224167,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.052000714931637,2.02618408203125,2.777050090987591,6.375022080565419,103.97381591796875,99.85675048828125,0.010400884784758091,0.04131844639778137,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.056000715121627,2.0261383056640625,2.7769666899007563,6.375142469528709,103.97386169433594,99.85692596435547,0.011996776796877384,0.04107416421175003,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.060000715311617,2.0260848999023438,2.776910084325177,6.375267701688325,103.97391510009766,99.85708618164062,0.01315759215503931,0.04152759537100792,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.064000715501606,2.0260238647460938,2.7768698254039403,6.375409822895312,103.9739761352539,99.85724639892578,0.013597600162029266,0.041640397161245346,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.068000715691596,2.0259628295898438,2.776813559513987,6.3755615922180136,103.97403717041016,99.85739135742188,0.012764749117195606,0.041397400200366974,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.072000715881586,2.025909423828125,2.7767412861853584,6.375708527933798,103.97409057617188,99.85755157470703,0.011329879984259605,0.04006744548678398,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.076000716071576,2.02587890625,2.7766526708105217,6.375843389863002,103.97412109375,99.85770416259766,0.009274827316403389,0.03923048824071884,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.080000716261566,2.025848388671875,2.776532705880689,6.375987871505902,103.97415161132812,99.85787963867188,0.006763495970517397,0.03831731155514717,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.084000716451555,2.0258331298828125,2.7763957303781686,6.376117908368385,103.97416687011719,99.8580322265625,0.003963526338338852,0.0371876135468483,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.088000716641545,2.02581787109375,2.776237521077103,6.376262404166382,103.97418212890625,99.85820007324219,0.0014279861934483051,0.03600065037608147,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.092000716831535,2.0258255004882812,2.7760845384115105,6.376390049678703,103.97417449951172,99.85836029052734,-0.00034153141314163804,0.035131849348545074,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.096000717021525,2.0258331298828125,2.7759469011902715,6.376498438097209,103.97416687011719,99.85848999023438,-0.0013918188633397222,0.03450439125299454,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
15.100000717211515,2.0258255004882812,2.77583705956321,6.3765923760624394,103.97417449951172,99.8586196899414,-0.0015503830509260297,0.03406314179301262,0.5,-0.5,0,0,0,0,0,0,0,0,0.5,-0.5
